iter	RMSE
0	249848.0913
1	247975.9846
2	246431.6312
3	245434.2482
4	243895.1698
5	242796.7852
6	240888.551
7	239745.5213
8	238805.6218
9	237522.014
10	236291.0661
11	235141.8439
12	234130.4652
13	232918.8751
14	231838.2384
15	231003.7892
16	229722.7526
17	228594.4659
18	227678.535
19	226675.6081
20	225868.2264
21	224943.381
22	224368.7918
23	224195.6784
24	223498.6822
25	222594.793
26	221867.9352
27	220957.4699
28	220691.3018
29	219853.9436
30	219481.7223
31	218609.523
32	218014.2431
33	217749.169
34	216804.2237
35	216230.1751
36	215624.974
37	214871.6771
38	214539.4617
39	214191.1731
40	213950.9681
41	213703.5932
42	213328.8421
43	212880.5187
44	212459.9179
45	212142.2634
46	212025.569
47	211533.8286
48	210972.5708
49	210872.6744
50	210740.5056
51	210316.5395
52	210041.0546
53	209552.0389
54	209070.2985
55	209020.8037
56	208653.9123
57	208357.8575
58	208217.7595
59	207719.1186
60	207587.6185
61	207189.7732
62	206894.2811
63	206709.73
64	206511.9642
65	206085.851
66	205682.7687
67	205187.8342
68	204860.1917
69	204675.8698
70	204640.4715
71	204464.206
72	204032.7334
73	203855.6926
74	203666.886
75	203614.9038
76	203396.1887
77	203172.1427
78	202927.057
79	202901.5431
80	202881.1462
81	202868.7571
82	202496.4742
83	202442.377
84	202333.9128
85	202123.5755
86	202027.0585
87	201900.4816
88	201883.718
89	201715.8585
90	201519.6159
91	201217.7441
92	201181.4661
93	201130.7311
94	200813.1851
95	200606.476
96	200464.3922
97	200297.3259
98	200012.7738
99	199862.0637
100	199675.5653
101	199596.1043
102	199510.928
103	199438.1605
104	199092.2548
105	198984.332
106	198845.0508
107	198578.1469
108	198414.6242
109	198102.937
110	197981.1855
111	197981.1648
112	197873.649
113	197805.1125
114	197786.655
115	197657.8938
116	197561.152
117	197356.5774
118	197106.5079
119	197083.1575
120	197066.7541
121	197046.0989
122	196911.8251
123	196789.7938
124	196765.266
125	196751.8116
126	196609.6306
127	196483.9621
128	196390.2003
129	196220.0704
130	196075.3524
131	196063.244
132	196024.9403
133	196013.5264
134	195803.5832
135	195753.1902
136	195643.4363
137	195444.1715
138	195343.2665
139	195122.7657
140	195063.3578
141	195032.0251
142	195032.0222
143	194930.4753
144	194799.2172
145	194706.3988
146	194702.969
147	194550.8086
148	194362.6073
149	194258.5708
150	194094.2938
151	193891.2425
152	193870.9898
153	193773.55
154	193738.2794
155	193592.9618
156	193445.9471
157	193327.3901
158	193320.5246
159	193272.9003
160	193220.7236
161	193036.0294
162	192907.3044
163	192821.1447
164	192670.9087
165	192590.2735
166	192450.145
167	192416.043
168	192070.3492
169	191951.0808
170	191904.1693
171	191838.3841
172	191837.252
173	191736.1974
174	191588.9125
175	191484.7556
176	191431.9203
177	191316.0704
178	191127.9111
179	190940.9997
180	190857.374
181	190856.8492
182	190793.6058
183	190739.511
184	190676.8116
185	190578.3005
186	190516.7813
187	190492.3593
188	190461.4507
189	190419.7943
190	190334.8062
191	190273.7081
192	190148.4573
193	190016.4327
194	189866.0405
195	189802.0591
196	189689.7483
197	189544.0877
198	189499.6432
199	189397.273
200	189205.9225
201	189085.7246
202	189033.2463
203	188995.8156
204	188995.1762
205	188903.6486
206	188713.8781
207	188459.8567
208	188368.9496
209	188325.5015
210	188289.2963
211	188228.7116
212	188122.8174
213	188059.9827
214	187834.4182
215	187730.867
216	187546.5119
217	187218.7174
218	187185.2872
219	187115.5543
220	187000.4909
221	186679.0342
222	186547.2916
223	186458.8226
224	186409.0721
225	186233.1639
226	186218.6886
227	186214.8493
228	186170.5547
229	186062.5165
230	186017.355
231	185871.1905
232	185810.2466
233	185633.2071
234	185578.555
235	185299.5698
236	185161.0293
237	185090.2063
238	184958.1213
239	184861.4221
240	184760.159
241	184573.3176
242	184451.3015
243	184358.3808
244	184228.8343
245	183879.9766
246	183700.5358
247	183559.331
248	183505.4244
249	183464.772
250	183388.025
251	183074.6651
252	183044.6783
253	182996.5747
254	182821.9408
255	182625.1424
256	182542.5645
257	182352.6991
258	182204.4517
259	181911.0683
260	181743.1303
261	181667.5574
262	181525.9369
263	181424.1182
264	181302.2707
265	181248.2549
266	181186.6071
267	181136.3358
268	181073.7599
269	180768.0317
270	180711.7371
271	180560.4906
272	180432.2703
273	180296.0566
274	180234.8945
275	180196.5883
276	180158.5993
277	179848.3038
278	179757.907
279	179648.2334
280	179523.6803
281	179393.6385
282	179212.5781
283	179067.135
284	179028.067
285	178892.3843
286	178735.6237
287	178656.1467
288	178398.3988
289	178383.1728
290	178355.0603
291	178229.4528
292	177927.4133
293	177857.6047
294	177748.248
295	177708.0429
296	177692.2726
297	177574.2364
298	177331.0452
299	177282.174
300	177252.0987
301	177149.6613
302	177097.6547
303	176915.419
304	176784.6238
305	176533.1893
306	176417.5647
307	176290.8426
308	176137.9018
309	175965.9339
310	175836.6408
311	175761.0135
312	175668.2087
313	175510.9674
314	175456.3012
315	175381.874
316	175297.0443
317	175153.0085
318	174984.5199
319	174928.6087
320	174893.1636
321	174849.391
322	174800.9519
323	174755.9747
324	174656.1316
325	174367.5149
326	174335.7181
327	174203.2424
328	174080.9517
329	173818.2325
330	173609.0954
331	173484.6733
332	173448.6986
333	173435.985
334	173351.6032
335	173065.9772
336	172944.1939
337	172780.5469
338	172740.6444
339	172735.5058
