iter	Passed	Remaining
0	57	172832
1	65	98228
2	75	74949
3	84	63192
4	94	56681
5	101	50781
6	107	45971
7	108	40642
8	113	37688
9	121	36208
10	125	34126
11	130	32375
12	134	30882
13	138	29506
14	142	28338
15	143	26721
16	147	25928
17	152	25206
18	158	24793
19	162	24207
20	167	23766
21	172	23390
22	178	23118
23	182	22654
24	187	22263
25	191	21902
26	196	21627
27	200	21293
28	204	20995
29	208	20654
30	212	20363
31	216	20099
32	218	19682
33	222	19424
34	226	19198
35	230	19017
36	235	18884
37	240	18714
38	243	18519
39	248	18379
40	249	18029
41	251	17706
42	257	17692
43	261	17596
44	266	17518
45	271	17434
46	274	17253
47	278	17148
48	282	17037
49	286	16917
50	290	16794
51	294	16681
52	295	16423
53	297	16206
54	297	15940
55	301	15875
56	302	15638
57	304	15441
58	310	15471
59	315	15447
60	320	15430
61	324	15368
62	325	15189
63	327	15011
64	331	14968
65	336	14941
66	340	14911
67	344	14862
68	348	14807
69	351	14710
70	355	14685
71	360	14658
72	364	14633
73	369	14612
74	373	14564
75	377	14524
76	381	14486
77	386	14464
78	390	14432
79	394	14414
80	400	14417
81	401	14293
82	405	14260
83	408	14192
84	412	14163
85	417	14144
86	422	14135
87	426	14114
88	431	14104
89	436	14100
90	440	14076
91	444	14047
92	449	14049
93	453	14016
94	457	13991
95	461	13972
96	466	13967
97	470	13932
98	474	13912
99	478	13881
100	482	13849
101	486	13814
102	490	13781
103	494	13757
104	498	13756
105	503	13737
106	505	13671
107	510	13661
108	515	13669
109	516	13581
110	517	13471
111	524	13534
112	529	13540
113	532	13483
114	537	13473
115	540	13449
116	545	13441
117	549	13421
118	550	13319
119	553	13294
120	558	13284
121	562	13277
122	566	13243
123	568	13192
124	571	13144
125	575	13127
126	579	13109
127	583	13097
128	587	13080
129	591	13058
130	592	12986
131	597	12988
132	598	12900
133	603	12898
134	608	12907
135	609	12845
136	610	12767
137	611	12689
138	612	12615
139	616	12602
140	621	12591
141	625	12591
142	626	12512
143	629	12492
144	632	12456
145	634	12400
146	638	12388
147	643	12401
148	647	12390
149	651	12369
150	654	12356
151	659	12363
152	660	12295
153	664	12281
154	668	12274
155	672	12260
156	676	12246
157	680	12246
158	685	12246
159	690	12250
160	691	12187
161	696	12195
162	700	12185
163	704	12185
164	708	12175
165	712	12169
166	716	12160
167	720	12148
168	724	12131
169	728	12123
170	732	12119
171	734	12077
172	739	12081
173	743	12073
174	747	12066
175	751	12058
176	753	12011
177	757	12005
178	761	12003
179	765	11997
180	770	11998
181	774	11997
182	779	11993
183	783	11989
184	787	11983
185	788	11936
186	793	11930
187	796	11918
188	802	11937
189	807	11948
190	810	11914
191	814	11912
192	819	11911
193	822	11900
194	826	11895
195	830	11884
196	834	11876
197	836	11838
198	841	11847
199	846	11851
200	851	11851
201	855	11846
202	859	11840
203	863	11831
204	863	11779
205	868	11773
206	871	11760
207	876	11764
208	880	11755
209	884	11757
210	890	11764
211	893	11755
212	897	11749
213	899	11708
214	905	11722
215	907	11699
216	912	11696
217	915	11687
218	920	11684
219	924	11684
220	929	11689
221	934	11692
222	939	11694
223	941	11664
224	946	11668
225	950	11667
226	955	11671
227	959	11659
228	963	11657
229	967	11652
230	971	11646
231	975	11639
232	979	11633
233	984	11631
234	987	11623
235	992	11618
236	997	11624
237	1000	11615
238	1004	11607
239	1009	11608
240	1013	11598
241	1017	11591
242	1021	11592
243	1025	11586
244	1029	11578
245	1033	11574
246	1038	11574
247	1042	11570
248	1046	11566
249	1056	11618
250	1060	11610
251	1064	11607
252	1068	11602
253	1073	11605
254	1077	11598
255	1082	11601
256	1087	11603
257	1088	11565
258	1092	11557
259	1096	11557
260	1100	11550
261	1105	11552
262	1109	11544
263	1113	11540
264	1118	11541
265	1122	11542
266	1127	11537
267	1130	11527
268	1134	11520
269	1138	11510
270	1142	11501
271	1146	11494
272	1150	11491
273	1155	11499
274	1159	11494
275	1164	11492
276	1168	11489
277	1173	11489
278	1177	11483
279	1180	11471
280	1184	11463
281	1188	11454
282	1192	11448
283	1195	11429
284	1199	11424
285	1204	11426
286	1208	11420
287	1212	11414
288	1216	11410
289	1220	11404
290	1225	11407
291	1229	11400
292	1233	11393
293	1237	11390
294	1241	11382
295	1245	11379
296	1249	11371
297	1253	11366
298	1257	11357
299	1260	11346
300	1264	11339
301	1268	11332
302	1272	11327
303	1276	11320
304	1280	11313
305	1285	11313
306	1289	11310
307	1296	11333
308	1301	11338
309	1306	11337
310	1311	11336
311	1315	11334
312	1320	11333
313	1324	11334
314	1329	11331
315	1333	11330
316	1337	11323
317	1342	11320
318	1346	11314
319	1350	11313
320	1356	11319
321	1360	11316
322	1365	11321
323	1370	11319
324	1374	11310
325	1377	11302
326	1382	11299
327	1386	11296
328	1390	11289
329	1394	11285
330	1399	11281
331	1404	11290
332	1409	11289
333	1414	11286
334	1419	11288
335	1423	11284
336	1427	11283
337	1432	11281
338	1437	11286
339	1442	11285
340	1446	11282
341	1451	11283
342	1456	11285
343	1460	11280
344	1464	11274
345	1468	11267
346	1473	11268
347	1478	11265
348	1482	11264
349	1486	11256
350	1490	11248
351	1494	11241
352	1497	11232
353	1501	11225
354	1505	11220
355	1509	11212
356	1514	11211
357	1517	11201
358	1521	11192
359	1526	11194
360	1531	11197
361	1535	11190
362	1539	11185
363	1544	11182
364	1548	11175
365	1553	11180
366	1557	11177
367	1562	11174
368	1566	11169
369	1570	11161
370	1574	11160
371	1579	11156
372	1583	11150
373	1587	11149
374	1592	11144
375	1597	11148
376	1602	11147
377	1606	11140
378	1609	11133
379	1614	11132
380	1619	11130
381	1623	11126
382	1627	11122
383	1632	11120
384	1637	11119
385	1641	11117
386	1647	11120
387	1651	11117
388	1655	11112
389	1659	11108
390	1664	11107
391	1668	11101
392	1673	11098
393	1676	11091
394	1681	11088
395	1685	11084
396	1690	11081
397	1694	11079
398	1698	11075
399	1704	11077
400	1708	11074
401	1713	11076
402	1718	11075
403	1722	11071
404	1728	11072
405	1732	11067
406	1736	11060
407	1740	11057
408	1745	11058
409	1749	11051
410	1754	11049
411	1757	11042
412	1762	11039
413	1766	11036
414	1770	11030
415	1774	11023
416	1779	11019
417	1783	11014
418	1787	11013
419	1791	11006
420	1796	11004
421	1801	11002
422	1806	11005
423	1811	11006
424	1816	11003
425	1820	10997
426	1825	10999
427	1830	10997
428	1834	10991
429	1837	10984
430	1842	10981
431	1846	10975
432	1850	10970
433	1855	10971
434	1860	10968
435	1864	10965
436	1868	10960
437	1872	10954
438	1877	10955
439	1882	10952
440	1886	10948
441	1891	10947
442	1896	10944
443	1900	10940
444	1905	10938
445	1910	10938
446	1914	10934
447	1918	10929
448	1923	10926
449	1928	10927
450	1933	10927
451	1937	10923
452	1943	10925
453	1947	10920
454	1952	10920
455	1956	10913
456	1960	10910
457	1964	10904
458	1969	10903
459	1974	10900
460	1978	10898
461	1983	10894
462	1987	10893
463	1992	10887
464	1996	10884
465	2000	10877
466	2004	10871
467	2009	10869
468	2013	10864
469	2016	10857
470	2021	10852
471	2025	10848
472	2029	10844
473	2033	10839
474	2040	10844
475	2045	10845
476	2049	10842
477	2054	10839
478	2058	10834
479	2062	10829
480	2066	10823
481	2070	10818
482	2075	10815
483	2079	10810
484	2082	10801
485	2088	10801
486	2092	10796
487	2095	10788
488	2099	10783
489	2103	10777
490	2107	10770
491	2111	10765
492	2115	10758
493	2120	10755
494	2124	10752
495	2128	10745
496	2132	10738
497	2135	10730
498	2139	10724
499	2143	10719
500	2148	10718
501	2152	10712
502	2157	10711
503	2161	10705
504	2165	10700
505	2170	10699
506	2174	10693
507	2178	10689
508	2183	10683
509	2187	10680
510	2191	10676
511	2195	10670
512	2200	10669
513	2205	10664
514	2208	10658
515	2212	10652
516	2217	10648
517	2221	10646
518	2225	10640
519	2230	10635
520	2233	10629
521	2238	10626
522	2243	10623
523	2246	10617
524	2251	10614
525	2255	10610
526	2260	10607
527	2264	10602
528	2269	10601
529	2273	10596
530	2277	10590
531	2282	10587
532	2288	10590
533	2293	10590
534	2297	10587
535	2302	10585
536	2307	10583
537	2312	10580
538	2316	10577
539	2321	10576
540	2326	10575
541	2328	10562
542	2333	10560
543	2338	10558
544	2344	10559
545	2348	10557
546	2353	10553
547	2358	10552
548	2362	10546
549	2367	10544
550	2372	10544
551	2376	10541
552	2382	10541
553	2388	10543
554	2392	10538
555	2397	10537
556	2402	10537
557	2408	10538
558	2413	10537
559	2418	10536
560	2422	10532
561	2427	10531
562	2432	10529
563	2436	10524
564	2440	10519
565	2444	10513
566	2451	10520
567	2456	10519
568	2461	10516
569	2466	10515
570	2470	10510
571	2474	10504
572	2478	10499
573	2482	10492
574	2486	10486
575	2490	10482
576	2495	10480
577	2500	10479
578	2505	10475
579	2509	10472
580	2514	10468
581	2518	10462
582	2523	10460
583	2527	10456
584	2531	10452
585	2534	10441
586	2538	10436
587	2543	10432
588	2548	10430
589	2552	10426
590	2557	10424
591	2561	10420
592	2566	10417
593	2570	10411
594	2574	10405
595	2578	10401
596	2583	10400
597	2588	10396
598	2591	10389
599	2596	10386
600	2601	10385
601	2605	10379
602	2609	10374
603	2614	10370
604	2619	10368
605	2623	10365
606	2628	10361
607	2632	10357
608	2637	10353
609	2641	10349
610	2645	10345
611	2650	10341
612	2654	10336
613	2659	10332
614	2663	10328
615	2667	10323
616	2671	10319
617	2676	10314
618	2680	10309
619	2684	10304
620	2688	10299
621	2693	10296
622	2698	10295
623	2702	10291
624	2707	10286
625	2712	10285
626	2716	10280
627	2720	10274
628	2724	10271
629	2729	10269
630	2734	10266
631	2738	10260
632	2742	10255
633	2748	10256
634	2752	10252
635	2756	10246
636	2760	10240
637	2764	10235
638	2768	10229
639	2774	10230
640	2779	10229
641	2784	10227
642	2788	10222
643	2793	10221
644	2799	10221
645	2804	10219
646	2810	10221
647	2815	10217
648	2819	10213
649	2824	10211
650	2829	10210
651	2833	10204
652	2838	10201
653	2843	10200
654	2848	10197
655	2853	10194
656	2858	10193
657	2863	10192
658	2868	10189
659	2872	10185
660	2877	10183
661	2882	10179
662	2887	10178
663	2892	10177
664	2898	10177
665	2903	10175
666	2908	10174
667	2914	10173
668	2919	10171
669	2923	10167
670	2928	10165
671	2932	10160
672	2937	10156
673	2941	10150
674	2945	10146
675	2950	10142
676	2954	10138
677	2958	10133
678	2963	10131
679	2968	10128
680	2973	10124
681	2977	10121
682	2982	10118
683	2987	10113
684	2991	10108
685	2995	10104
686	3000	10100
687	3004	10095
688	3009	10094
689	3013	10088
690	3018	10086
691	3022	10082
692	3027	10079
693	3032	10074
694	3035	10068
695	3040	10064
696	3044	10060
697	3048	10053
698	3052	10047
699	3056	10041
700	3060	10037
701	3064	10033
702	3069	10030
703	3074	10027
704	3078	10021
705	3083	10018
706	3088	10016
707	3092	10011
708	3096	10005
709	3100	9999
710	3104	9993
711	3108	9990
712	3113	9986
713	3119	9988
714	3124	9985
715	3128	9980
716	3133	9975
717	3137	9970
718	3141	9966
719	3145	9961
720	3149	9954
721	3153	9950
722	3158	9948
723	3163	9944
724	3167	9940
725	3173	9938
726	3176	9931
727	3180	9925
728	3184	9921
729	3190	9919
730	3195	9918
731	3199	9914
732	3205	9912
733	3209	9907
734	3213	9902
735	3217	9898
736	3222	9895
737	3226	9889
738	3230	9884
739	3234	9878
740	3239	9875
741	3244	9871
742	3248	9867
743	3253	9865
744	3257	9860
745	3261	9854
746	3266	9851
747	3271	9849
748	3275	9844
749	3279	9838
750	3284	9834
751	3288	9831
752	3292	9825
753	3297	9822
754	3301	9817
755	3306	9815
756	3310	9809
757	3314	9804
758	3319	9802
759	3324	9799
760	3331	9802
761	3337	9802
762	3342	9798
763	3347	9796
764	3351	9792
765	3356	9789
766	3360	9783
767	3364	9778
768	3368	9774
769	3372	9767
770	3376	9762
771	3381	9759
772	3385	9754
773	3390	9750
774	3395	9748
775	3399	9743
776	3405	9742
777	3409	9738
778	3414	9734
779	3418	9730
780	3422	9725
781	3426	9719
782	3431	9714
783	3435	9709
784	3439	9703
785	3444	9703
786	3448	9697
787	3453	9693
788	3457	9688
789	3462	9685
790	3467	9682
791	3471	9678
792	3475	9673
793	3481	9671
794	3485	9667
795	3489	9662
796	3493	9657
797	3498	9653
798	3503	9650
799	3507	9645
800	3512	9642
801	3516	9637
802	3519	9630
803	3524	9625
804	3528	9620
805	3533	9617
806	3538	9614
807	3542	9609
808	3546	9604
809	3551	9601
810	3553	9590
811	3557	9586
812	3561	9580
813	3566	9576
814	3570	9571
815	3575	9568
816	3579	9563
817	3583	9559
818	3587	9554
819	3592	9550
820	3597	9547
821	3601	9543
822	3606	9539
823	3610	9534
824	3614	9529
825	3619	9526
826	3624	9522
827	3628	9518
828	3632	9512
829	3636	9506
830	3640	9502
831	3644	9497
832	3648	9491
833	3652	9485
834	3657	9482
835	3661	9477
836	3665	9473
837	3670	9469
838	3674	9463
839	3678	9459
840	3683	9457
841	3688	9453
842	3692	9449
843	3696	9443
844	3701	9439
845	3704	9432
846	3709	9428
847	3714	9425
848	3718	9420
849	3721	9414
850	3726	9410
851	3730	9405
852	3734	9399
853	3738	9395
854	3743	9391
855	3747	9385
856	3751	9380
857	3755	9376
858	3760	9373
859	3765	9370
860	3770	9366
861	3774	9361
862	3779	9358
863	3782	9352
864	3787	9347
865	3791	9342
866	3796	9339
867	3800	9335
868	3805	9332
869	3810	9330
870	3815	9325
871	3820	9322
872	3824	9319
873	3830	9317
874	3835	9314
875	3839	9309
876	3843	9305
877	3847	9299
878	3851	9294
879	3856	9290
880	3860	9284
881	3864	9279
882	3869	9277
883	3874	9274
884	3879	9271
885	3883	9266
886	3887	9261
887	3892	9256
888	3896	9252
889	3900	9247
890	3904	9241
891	3908	9236
892	3914	9235
893	3918	9230
894	3922	9225
895	3927	9221
896	3931	9216
897	3935	9212
898	3940	9208
899	3944	9204
900	3949	9200
901	3956	9202
902	3961	9200
903	3966	9196
904	3970	9190
905	3974	9185
906	3978	9181
907	3982	9176
908	3987	9172
909	3993	9171
910	3997	9167
911	4002	9162
912	4007	9159
913	4012	9156
914	4016	9152
915	4020	9146
916	4024	9142
917	4029	9138
918	4034	9135
919	4038	9130
920	4042	9126
921	4047	9121
922	4051	9118
923	4056	9113
924	4060	9108
925	4064	9103
926	4069	9099
927	4074	9096
928	4078	9091
929	4082	9086
930	4086	9081
931	4090	9077
932	4095	9072
933	4099	9068
934	4104	9063
935	4108	9059
936	4112	9055
937	4117	9051
938	4121	9046
939	4125	9040
940	4128	9034
941	4132	9028
942	4137	9024
943	4141	9020
944	4145	9014
945	4149	9010
946	4155	9008
947	4159	9003
948	4164	8999
949	4168	8995
950	4173	8991
951	4177	8986
952	4181	8981
953	4185	8975
954	4190	8972
955	4193	8966
956	4197	8960
957	4201	8956
958	4205	8950
959	4209	8945
960	4214	8941
961	4218	8936
962	4223	8934
963	4228	8930
964	4232	8925
965	4237	8922
966	4242	8918
967	4246	8914
